EID,SR,com,com2
2-s2.0-0036284471,"Ragab R & Prudhomme C, (2002) Biosystems Engineering",NA,NA
2-s2.0-14844329854,"Walker P, (2005) Progress in Human Geography",3,3
2-s2.0-77950924700,"Walker G et al., (2010) Energy Policy",2,6
2-s2.0-0032327883,"Mohr J, (1998) Annual Review of Sociology",5,4
2-s2.0-1642329136,"Rogers E, (2004) Journal of Health Communication",2,2
2-s2.0-30744478480,"Gertler M & Levitte Y, (2005) Industry and Innovation",4,3
2-s2.0-79953047645,"Ahern J, (2011) Landscape and Urban Planning",3,2
2-s2.0-0037370085,"Spencer J, (2003) Strategic Management Journal",1,2
2-s2.0-0037240731,"Reiter P et al., (2003) Emerging Infectious Diseases",6,2
2-s2.0-8744233672,"Acs Z & Armington C, (2004) Regional Studies",1,2
2-s2.0-33750486210,"Gibson R, (2006) Impact Assessment and Project Appraisal",3,2
2-s2.0-2442562276,"Lansing J, (2003) Annual Review of Anthropology",3,5
2-s2.0-33749661876,"Corbett A, (2007) Journal of Business Venturing",7,1
2-s2.0-78649536915,"Cohen W, (2010) Handbook of the Economics of Innovation",1,2
2-s2.0-77954610116,"Jordan A & Lenschow A, (2010) Environmental Policy and Governance",3,1
2-s2.0-70349802626,"Yeung H, (2009) Regional Studies",4,4
2-s2.0-77950860744,"Loorbach D & Rotmans J, (2010) Futures",2,3
2-s2.0-84856563095,"Hall S, (2011) Cultural Studies",NA,NA
2-s2.0-0033465403,"Shapiro C & Varian H, (1999) California Management Review",1,4
2-s2.0-33751256006,"Dosi G et al., (2006) Research Policy",1,3
2-s2.0-84929832875,"Acs Z & Armington C, (2006) Entrepreneurship, Geography, and American Econo...",1,1
2-s2.0-77649289979,"Gram-Hanssen K, (2010) Building Research and Information",5,1
2-s2.0-84911201960,"Bulkeley H & Newell P, (2010) Governing Climate Change",4,5
2-s2.0-84884387204,"Metz B et al., (2007) Climate Change 2007 Mitigation of Climate Change",NA,NA
2-s2.0-84927000565,"Malerba F, (2004) Sectoral Systems of Innovation: Concepts, Issue...",1,1
2-s2.0-0035560513,"Gertler M, (2001) Journal of Economic Geography",4,4
2-s2.0-22144490918,"Garud R & Kumaraswamy A, (2005) MIS Quarterly: Management Information Systems",1,2
2-s2.0-82355163582,"Wolsink M, (2012) Renewable and Sustainable Energy Reviews",2,6
2-s2.0-84855994091,"Park S et al., (2012) Global Environmental Change",3,2
2-s2.0-22444449153,"Requate T, (2005) Ecological Economics",6,1
2-s2.0-43449125875,"Kaplan S & Tripsas M, (2008) Research Policy",1,2
2-s2.0-3042600486,"Popp D, (2004) Journal of Environmental Economics and Management",6,1
2-s2.0-30844464138,"Popp D, (2006) Journal of Environmental Economics and Management",6,1
2-s2.0-71949096691,"While A et al., (2010) Transactions of the Institute of British Geogra...",4,5
2-s2.0-84992797068,"Callon M, (1999) Science Technology & Society",3,4
2-s2.0-33745757444,"Lu H et al., (2006) Industrial and Engineering Chemistry Research",NA,NA
2-s2.0-41849128513,"Butler L & Neuhoff K, (2008) Renewable Energy",2,6
2-s2.0-11844276990,"Dahl M & Pedersen C, (2004) Research Policy",4,1
2-s2.0-11844287616,"Beise M & Rennings K, (2005) Ecological Economics",1,2
2-s2.0-84971573152,"Eyring V et al., (2016) Geoscientific Model Development",6,4
2-s2.0-0035486480,"Lawrence T et al., (2001) Academy of Management Review",7,2
2-s2.0-0032165995,"Adams M et al., (1998) Journal of Product Innovation Management",1,3
2-s2.0-5444228166,"Bryant R & Goodman M, (2004) Transactions of the Institute of British Geogra...",3,3
2-s2.0-36448962742,"Janicke M, (2008) Journal of Cleaner Production",1,3
2-s2.0-33747170827,"Popadiuk S & Choo C, (2006) International Journal of Information Management",1,2
2-s2.0-44749086216,"Castellacci F, (2008) Research Policy",1,1
2-s2.0-56849095824,"Sine W & Lee B, (2009) Administrative Science Quarterly",7,2
2-s2.0-84875064118,"Wolford W et al., (2013) Development and Change",3,3
2-s2.0-33847734254,"Breukers S & Wolsink M, (2007) Energy Policy",2,6
2-s2.0-0033733480,"Kornov L & Thissen W, (2000) Impact Assessment and Project Appraisal",3,1
2-s2.0-84896187611,"Berkhout F et al., (2004) System Innovation and the Transition to Sustain...",2,4
2-s2.0-79958236840,"Vallance S et al., (2011) Geoforum",5,2
2-s2.0-0035632342,"Avgerou C, (2001) Information Systems Journal",2,2
2-s2.0-22544488126,"Sood A & Tellis G, (2005) Journal of Marketing",1,2
2-s2.0-34447103177,"Gibbs D & Deutz P, (2007) Journal of Cleaner Production",3,6
2-s2.0-67349157068,"Klerkx L & Leeuwis C, (2009) Technological Forecasting and Social Change",1,1
2-s2.0-78650151364,"Bakker K, (2010) Progress in Human Geography",3,3
2-s2.0-0035336563,"Kaufmann A & Todtling F, (2001) Research Policy",1,1
2-s2.0-65949102097,"Struben J & Sterman J, (2008) Environment and Planning B: Planning and Design",1,4
2-s2.0-49649100867,"Schiermeier Q et al., (2008) Nature",NA,NA
2-s2.0-0035539346,"Huy Q, (2001) Academy of Management Review",7,2
2-s2.0-33745947389,"Schneider M & Somers M, (2006) Leadership Quarterly",1,3
2-s2.0-63149133923,"Nill J & Kemp R, (2009) Research Policy",2,4
2-s2.0-77953333390,"Amundsen H et al., (2010) Environment and Planning C: Government and Policy",4,5
2-s2.0-84860224992,"Weber K & Rohracher H, (2012) Research Policy",2,5
2-s2.0-38949205613,"Pidgeon N et al., (2008) Global Environmental Change",3,4
2-s2.0-84855870846,"Truffer B & Coenen L, (2012) Regional Studies",2,5
2-s2.0-53249151613,"Kern F & Smith A, (2008) Energy Policy",2,3
2-s2.0-79960055316,"Spaargaren G, (2011) Global Environmental Change",5,3
2-s2.0-84874172514,"Bulkeley H & Betsill M, (2013) Environmental Politics",4,5
2-s2.0-33750618638,"Karra N et al., (2006) Entrepreneurship: Theory and Practice",7,3
2-s2.0-0038646261,"Klijn E & Teisman G, (2003) Public Money and Management",3,1
2-s2.0-34447520445,"Boschma R & Wenting R, (2007) Industrial and Corporate Change",1,3
2-s2.0-77950537567,"Hassink R, (2010) Cambridge Journal of Regions, Economy and Society",4,2
2-s2.0-84867566696,"Sharifi A & Murayama A, (2013) Environmental Impact Assessment Review",NA,NA
2-s2.0-9944240844,"Green M et al., (2004) Solar Energy",NA,NA
2-s2.0-50349087890,"Klijn E, (2008) Public Management Review",3,1
2-s2.0-55249113618,"Walker G, (2008) Energy Policy",2,6
2-s2.0-79952072604,"Allen C et al., (2011) Journal of Environmental Management",3,2
2-s2.0-84879978673,"Nevens F et al., (2013) Journal of Cleaner Production",2,3
2-s2.0-23344432272,"Clark D et al., (2005) IEEE/ACM Transactions on Networking",2,2
2-s2.0-20444480242,"Dahlin K & Behrens D, (2005) Research Policy",1,2
2-s2.0-50649125571,"Genus A & Coles A, (2008) Research Policy",2,4
2-s2.0-77649084049,"Gertler M, (2010) Regional Studies",4,4
2-s2.0-84870679467,"Hargreaves T et al., (2013) Energy Policy",5,3
2-s2.0-0032758796,"Koster R & Suarez M, (1999) Journal of Climate",6,2
2-s2.0-33748082293,"Quist J & Vergragt P, (2006) Futures",2,3
2-s2.0-33747093747,"Sharif N, (2006) Research Policy",1,1
2-s2.0-78650177688,"Tompkins E et al., (2010) Global Environmental Change",2,1
2-s2.0-84886720013,"Klockner C, (2013) Global Environmental Change",5,2
2-s2.0-0000217018,"Nightingale P, (1998) Research Policy",1,3
2-s2.0-0040799937,"Hatch M, (1999) Organization Studies",5,4
2-s2.0-0033533849,"Reilly J et al., (1999) Nature",6,3
2-s2.0-0032693131,"Lettenmaier D et al., (1999) Climatic Change",6,2
2-s2.0-0034076589,"Mendelsohn R et al., (2000) Climatic Change",6,3
2-s2.0-0034788872,"Lister S, (2001) Journal of International Development",NA,NA
2-s2.0-41049092397,"Elzen B et al., (2004) System Innovation and the Transition to Sustain...",2,3
2-s2.0-8644257734,"Dant T, (2004) Theory, Culture & Society",2,2
2-s2.0-0242720291,"Venkataraman S, (2004) Journal of Business Venturing",1,2
2-s2.0-70350031616,"Watson V, (2009) Progress in Planning",4,5
2-s2.0-0034487867,"Faludi A, (2000) Planning Practice and Research",3,1
2-s2.0-84929301234,"Sundbo J & Gallouj F, (2000) International Journal of Services, Technology a...",1,1
2-s2.0-0035466859,"Shane S, (2001) Management Science",1,3
2-s2.0-33750177693,"Ginson R, (2006) Journal of Environmental Assessment Policy and ...",NA,NA
2-s2.0-67049119320,"Rotmans J & Loorbach D, (2009) Journal of Industrial Ecology",2,3
2-s2.0-0034892233,"Lall S, (2001) World Development",1,1
2-s2.0-0036914092,"Paasi A, (2002) Progress in Human Geography",4,2
2-s2.0-84909003320,"Cantwell J & Iammarino S, (2003) Multinational Corporations and European Regiona...",1,1
2-s2.0-0042704760,"Green M, (2003) Solar Energy",NA,NA
2-s2.0-1842630299,"Archibugi D & Coco A, (2004) World Development",1,1
2-s2.0-35048848906,"Marvel M & Lumpkin G, (2007) Entrepreneurship: Theory and Practice",7,1
2-s2.0-78751681566,"Harvey M & Pilgrim S, (2011) Food Policy",2,4
2-s2.0-79951951793,"Ostergaard C et al., (2011) Research Policy",1,3
2-s2.0-79251508373,"MacKinnon D, (2011) Progress in Human Geography",4,2
2-s2.0-0037304824,"Almeida P et al., (2003) Research Policy",1,2
2-s2.0-0041878750,"Cappelen A et al., (2003) Journal of Common Market Studies",1,1
2-s2.0-72449165827,"Voss J et al., (2009) Policy Sciences",2,3
2-s2.0-1842473134,"Miller L & Douglas B, (2004) Nature",6,2
2-s2.0-29144524824,"Van Der Brugge R et al., (2005) Regional Environmental Change",2,4
2-s2.0-84928049323,"Battilana J & D'Aunno T, (2009) Institutional Work: Actors and Agency in Instit...",7,2
2-s2.0-0036697281,"Agarwal R & Bayus B, (2002) Management Science",1,2
2-s2.0-0038355300,"Sohngen B & Mendelsohn R, (2003) American Journal of Agricultural Economics",6,3
2-s2.0-27844535330,"Dutta D & Crossan M, (2005) Entrepreneurship: Theory and Practice",7,1
2-s2.0-29644448065,"Asheim B & Coenen L, (2006) Journal of Technology Transfer",4,3
2-s2.0-37349009260,"MacLeod G & Jones M, (2007) Regional Studies",4,4
2-s2.0-77953391200,"Sorrell S et al., (2010) Energy Policy",NA,NA
2-s2.0-0034359999,"Amable B, (2000) Review of International Political Economy",1,1
2-s2.0-0034042281,"Valentin A & Spangenberg J, (2000) Environmental Impact Assessment Review",NA,NA
2-s2.0-0037162872,"Berger A & Loutre M, (2002) Science",6,2
2-s2.0-26944491422,"Eisenberg R & Nocera D, (2005) Inorganic Chemistry",6,3
2-s2.0-84920693577,"Tuomi I, (2006) Networks of Innovation: Change and Meaning in t...",1,2
2-s2.0-84858442925,"Lundvall B, (2010) National Systems of Innovation: Toward a Theory...",1,1
2-s2.0-84926958888,"Scholz R et al., (2011) Environmental Literacy in Science and Society: ...",3,2
2-s2.0-84924014677,"Stark D et al., (2011) The Sense of Dissonance: Accounts of Worth in E...",7,4
2-s2.0-70449631102,"Avelino F & Rotmans J, (2009) European Journal of Social Theory",2,3
2-s2.0-79951537208,"Boschma R & Frenken K, (2011) Journal of Economic Geography",4,2
2-s2.0-84859420490,"Kesidou E & Demirel P, (2012) Research Policy",1,1
2-s2.0-0037597460,"Cooke P, (2002) Journal of Technology Transfer",4,4
2-s2.0-33846466031,"Dincer I, (2007) International Journal of Energy Research",NA,NA
2-s2.0-79957999094,"Meadowcroft J, (2011) Environmental Innovation and Societal Transitions",2,5
2-s2.0-79957988449,"Jacobsson S & Bergek A, (2011) Environmental Innovation and Societal Transitions",2,5
2-s2.0-0346361842,"Oudshoorn N et al., (2004) Science Technology and Human Values",2,2
2-s2.0-33846392254,"Sundbo J et al., (2007) Research Policy",1,1
2-s2.0-77952623805,"Beck U, (2010) Theory, Culture and Society",3,4
2-s2.0-79960647151,"Asheim B et al., (2011) Regional Studies",4,3
2-s2.0-84855274288,"Sorensen E & Torfing J, (2011) Administration and Society",3,1
2-s2.0-0032848884,"MacLeod G & Goodwin M, (1999) Political Geography",4,2
2-s2.0-0036324636,"Marks G et al., (2002) American Journal of Political Science",3,1
2-s2.0-33846481153,"Gunderson L & Light S, (2006) Policy Sciences",3,2
2-s2.0-34247559798,"DeTienne D & Chandler G, (2007) Entrepreneurship: Theory and Practice",7,1
2-s2.0-68549111434,"Bartel C & Garud R, (2009) Organization Science",7,2
2-s2.0-77951620819,"Burch S, (2010) Global Environmental Change",2,1
2-s2.0-84860219857,"Lawhon M & Murphy J, (2012) Progress in Human Geography",2,3
2-s2.0-84917343502,"Grin J et al., (2010) Transitions to Sustainable Development: New Dir...",2,3
2-s2.0-31244438516,"Nelson R & Nelson K, (2002) Research Policy",1,1
2-s2.0-0041573374,"Rogoff E & Zachary Heck R, (2003) Journal of Business Venturing",7,1
2-s2.0-9944237741,"Freel M, (2005) Technovation",1,1
2-s2.0-84904629088,"Shove E & Walker G, (2014) Theory, Culture & Society",5,1
2-s2.0-0034470475,"Holmberg J & Robert K, (2000) International Journal of Sustainable Developmen...",3,6
2-s2.0-84992905097,"Parsons W, (2002) Public Policy and Administration",3,1
2-s2.0-0035810242,"Manne A & Richels R, (2001) Nature",6,2
2-s2.0-62849083000,"Hekkert M & Negro S, (2009) Technological Forecasting and Social Change",2,5
2-s2.0-70350561813,"Monstadt J, (2009) Environment and Planning A",2,4
2-s2.0-70349322543,"Mckee K, (2009) Critical Social Policy",3,1
2-s2.0-79960623100,"Ter Wal A & Boschma R, (2011) Regional Studies",4,3
2-s2.0-0036812026,"Agarwal R et al., (2002) Academy of Management Journal",1,2
2-s2.0-34249100544,"Rammel C et al., (2007) Ecological Economics",3,2
2-s2.0-79960252918,"Gram-Hanssen K, (2011) Journal of Consumer Culture",5,1
2-s2.0-0033450711,"Sanchez R, (1999) Journal of Marketing",1,2
2-s2.0-36348972399,"Walker G & Cass N, (2007) Area",2,2
2-s2.0-84865801195,"Fisher G, (2012) Entrepreneurship: Theory and Practice",7,1
2-s2.0-0003997853,"Walker W, (2000) Research Policy",1,4
2-s2.0-0035528632,"Afuah A, (2001) Academy of Management Journal",1,2
2-s2.0-0038578064,"Fagerberg J, (2003) Journal of Evolutionary Economics",1,1
2-s2.0-0038743020,"Bulkeley H & Mol A, (2003) Environmental Values",3,1
2-s2.0-33746407686,"Hess M & Yeung H, (2006) Environment and Planning A",4,4
2-s2.0-34247513551,"Walker G et al., (2007) Global Environmental Politics",2,6
2-s2.0-33847024866,"Sidhu J et al., (2007) Organization Science",1,2
2-s2.0-69749102243,"Wong T & Brown R, (2009) Water Science and Technology",3,2
2-s2.0-79957973274,"Van Den Bergh J et al., (2011) Environmental Innovation and Societal Transitions",2,5
2-s2.0-84886834979,"Barnett C et al., (2011) Globalizing Responsibility: The Political Ratio...",5,1
2-s2.0-0003597533,"Whitley R, (2000) Organization Studies",1,2
2-s2.0-77958471623,"Stephenson J et al., (2010) Energy Policy",2,1
2-s2.0-77955338999,"York J & Venkataraman S, (2010) Journal of Business Venturing",7,1
2-s2.0-80052778039,"Scott C et al., (2011) Energy Policy",2,4
2-s2.0-78751702674,"Whitmarsh L et al., (2011) Global Environmental Change",5,2
2-s2.0-78751539937,"Dimov D, (2011) Entrepreneurship: Theory and Practice",7,1
2-s2.0-84928062239,"Boschma R, (2015) Regional Studies",4,2
2-s2.0-0000525732,"Leydesdorff L, (2000) Research Policy",1,4
2-s2.0-37349102167,"Cox A, (2001) Journal of Supply Chain Management",4,1
2-s2.0-0036147019,"Van Der Zwaan B et al., (2002) Energy Economics",6,3
2-s2.0-0036720575,"Viotti E, (2002) Technological Forecasting and Social Change",1,1
2-s2.0-35948980882,"Kor Y et al., (2007) Journal of Management Studies",1,3
2-s2.0-60549117520,"Boschma R et al., (2009) Journal of Economic Geography",4,3
2-s2.0-62449085160,"Beddoe R et al., (2009) Proceedings of the National Academy of Sciences...",3,2
2-s2.0-84948064462,"Klerkx L et al., (2012) Farming Systems Research into the 21st Century:...",2,5
2-s2.0-84885435008,"Quested T et al., (2013) Resources, Conservation and Recycling",5,2
2-s2.0-84904596319,"Stirling A, (2014) Energy Research and Social Science",2,2
2-s2.0-0031785177,"Harvey F & Chrisman N, (1998) Environment and Planning A",2,2
2-s2.0-0034343899,"Wajcman J, (2000) Social Studies of Science",2,2
2-s2.0-27744460326,"Hu M & Mathews J, (2005) Research Policy",1,1
2-s2.0-34247491120,"Suarez F & Lanzolla G, (2007) Academy of Management Review",1,2
2-s2.0-34250816416,"Janssen M et al., (2007) Society and Natural Resources",3,2
2-s2.0-84909271773,"Goodman D et al., (2012) Alternative Food Networks: Knowledge, Practice,...",5,1
2-s2.0-33646201159,"Grabher G, (2006) Progress in Human Geography",4,4
2-s2.0-78649482225,"Dovers S & Hezri A, (2010) Wiley Interdisciplinary Reviews: Climate Change",3,1
2-s2.0-79953073919,"Evans J, (2011) Transactions of the Institute of British Geogra...",3,2
2-s2.0-0142124175,"Considine M & Lewis J, (2003) Public Administration Review",3,1
2-s2.0-36749083880,"Laredo P, (2007) Higher Education Policy",1,1
2-s2.0-78651305539,"Jerneck A et al., (2011) Sustainability Science",3,2
2-s2.0-79951659579,"Epstein P et al., (2011) Annals of the New York Academy of Sciences",3,4
2-s2.0-0033385181,"Schmitz H, (1999) Cambridge Journal of Economics",4,1
2-s2.0-17244366351,"Sayer A, (2001) Antipode",NA,NA
2-s2.0-2442488533,"Mirata M, (2004) Journal of Cleaner Production",3,6
2-s2.0-33745830824,"Rohdin P & Thollander P, (2006) Energy",7,3
2-s2.0-33947512800,"Verspagen B, (2007) Advances in Complex Systems",1,3
2-s2.0-77950065447,"Spath P & Rohracher H, (2010) Research Policy",2,3
2-s2.0-84855750360,"Wustenhagen R & Menichetti E, (2012) Energy Policy",2,6
2-s2.0-0000157489,"Rosenkopf L & Tushman M, (1998) Industrial and Corporate Change",1,2
2-s2.0-1942452752,"Gregory J et al., (2004) Nature",6,3
2-s2.0-34247486177,"Rindova V & Petkova A, (2007) Organization Science",1,2
2-s2.0-58549111835,"Turner B & Robbins P, (2008) Annual Review of Environment and Resources",3,3
2-s2.0-61649127262,"Howlett M, (2009) Policy Sciences",3,1
2-s2.0-79951541905,"Boschma R & Frenken K, (2010) The Handbook of Evolutionary Economic Geography",4,3
2-s2.0-0142190498,"Jones G et al., (2001) Journal of Business Venturing",1,2
2-s2.0-33644556853,"De Jong J & Marsili O, (2006) Research Policy",1,2
2-s2.0-77951530233,"Crutzen P, (2006) Earth System Science in the Anthropocene",6,2
2-s2.0-38049008995,"Sorensen J, (2007) Administrative Science Quarterly",7,1
2-s2.0-77954376038,"Gram-Hanssen K, (2010) Journal of Industrial Ecology",5,1
2-s2.0-84886726449,"Hargreaves T et al., (2013) Global Environmental Change",2,6
2-s2.0-0032104568,"Pielke Jr, (1998) Global Environmental Change",6,3
2-s2.0-0000957279,"Saviotti P, (1998) Research Policy",1,3
2-s2.0-43049100382,"West J & O'mahony S, (2008) Industry and Innovation",1,2
2-s2.0-0037076356,"Bankes S, (2002) Proceedings of the National Academy of Sciences...",3,5
2-s2.0-13244278294,"del Rio Gonzalez P, (2005) Business Strategy and the Environment",1,3
2-s2.0-84881822892,"Kemp R & Loorbach D, (2006) Reflexive Governance for Sustainable Development",2,3
2-s2.0-33745698920,"Cook M et al., (2006) Journal of Cleaner Production",1,3
2-s2.0-33750154033,"Rohdin P et al., (2007) Energy Policy",7,3
